title,platform,rating,release_year
Squid Game,Netflix,7.865,2021
Star Wars: The Clone Wars,Netflix,8.465,2008
Sesame Street,Netflix,7.1,1969
VeggieTales in the House,Netflix,5.1,2014
Fast & Furious Spy Racers,Netflix,6.976,2019
Lucifer,Netflix,8.446,2016
Stranger Things,Netflix,8.596,2016
The Sandman,Netflix,7.9,2022
The Umbrella Academy,Netflix,8.52,2019
Kipo and the Age of Wonderbeasts,Netflix,8.252,2020
Orange Is the New Black,Netflix,7.659,2013
Black Mirror,Netflix,8.285,2011
Manifest,Netflix,7.656,2018
Home: Adventures with Tip & Oh,Netflix,6.7,2016
"Love, Death & Robots",Netflix,8.234,2019
Cobra Kai,Netflix,8.213,2018
Raw,Netflix,6.785,1993
House of Cards,Netflix,8.01,2013
You,Netflix,8.0,2018
Grace and Frankie,Netflix,7.697,2015
The Mindy Project,Hulu,6.201,2012
The Handmaid's Tale,Hulu,8.171,2017
WWE Main Event,Hulu,7.897,2012
Futurama,Hulu,8.371,1999
The Amazing World of Gumball,Hulu,8.503,2011
King of the Hill,Hulu,7.3,1997
The Bear,Hulu,8.2,2022
The Mighty Ones,Hulu,7.4,2020
Pam & Tommy,Hulu,7.276,2022
WWE Superstars,Hulu,7.4,2009
Only Murders in the Building,Hulu,8.5,2021
Monsuno,Hulu,7.99,2012
The Orville,Hulu,7.628,2017
Veronica Mars,Hulu,7.828,2004
11.22.63,Hulu,7.768,2016
Nine Perfect Strangers,Hulu,6.984,2021
Animaniacs,Hulu,8.44,2020
Trolls: TrollsTopia,Hulu,8.481,2020
Future Man,Hulu,7.179,2017
Shōgun,Hulu,8.473,2024
Home & Family,Max,8.2,2012
When Calls the Heart,Max,8.258,2014
Chesapeake Shores,Max,7.818,2016
Good Witch,Max,7.7,2015
Pandemic,Max,5.2,2007
Frankenstein,Max,5.9,2004
"Signed, Sealed, Delivered",Max,7.034,2014
The Way Home,Max,7.5,2023
King Solomon's Mines,Max,6.3,2004
Cedar Cove,Max,6.839,2013
Telling Stories with Tomie dePaola,Max,0.0,2001
The Lady Musketeer,Max,5.2,2004
The Infinite Worlds of H.G. Wells,Max,7.0,2001
Martha Bakes,Max,7.5,2011
Mysterious Island,Max,5.2,2005
Blackbeard,Max,5.2,2006
Meet the Peetes,Max,10.0,2018
The Motherhood,Max,1.0,2025
Christmas at Sea,Max,0.0,2025
Martha,Max,6.5,2005
The Snoopy Show,Apple TV+,7.7,2021
Murderbot,Apple TV+,7.5,2025
Carpool Karaoke: The Series,Apple TV+,5.929,2017
Severance,Apple TV+,8.4,2022
Smoke,Apple TV+,5.7,2025
Silo,Apple TV+,8.156,2023
The Buccaneers,Apple TV+,7.115,2023
Foundation,Apple TV+,7.766,2021
For All Mankind,Apple TV+,7.707,2019
See,Apple TV+,8.105,2019
Slow Horses,Apple TV+,7.983,2022
Ted Lasso,Apple TV+,8.393,2020
Stick,Apple TV+,7.015,2025
Invasion,Apple TV+,7.2,2021
The Morning Show,Apple TV+,7.784,2019
Shrinking,Apple TV+,7.8,2023
The Studio,Apple TV+,7.7,2025
Mythic Quest,Apple TV+,7.264,2020
Servant,Apple TV+,7.558,2019
Masters of the Air,Apple TV+,7.777,2024
